,Avg_speed,Lane_speeds,Cars_in_lane
245,85.9090909090909,"[84.44885496183205, 88.68169014084508, 85.11428571428571]","[131, 71, 7]"
246,86.16857142857144,"[83.72727272727273, 91.64117647058823, 81.18]","[132, 68, 10]"
247,85.70377358490566,"[85.2, 90.2281690140845, 57.4]","[132, 71, 9]"
248,85.64433962264151,"[85.9304347826087, 86.00625000000001, 79.38000000000001]","[138, 64, 10]"
249,85.66132075471698,"[84.72676056338028, 89.26229508196721, 76.0]","[142, 61, 9]"
250,85.44558139534884,"[84.45547445255475, 88.77272727272728, 78.45]","[137, 66, 12]"
251,84.26511627906977,"[81.29361702127659, 89.38125000000001, 93.42]","[141, 64, 10]"
252,84.01666666666667,"[81.4943661971831, 88.57142857142858, 90.4909090909091]","[142, 63, 11]"
253,84.87247706422019,"[83.19295774647887, 88.31428571428572, 86.53846153846155]","[142, 63, 13]"
254,84.75688073394495,"[83.04428571428572, 88.1470588235294, 85.68]","[140, 68, 10]"
255,85.4958904109589,"[83.11079136690647, 89.48219178082192, 91.28571428571429]","[139, 73, 7]"
256,85.87636363636364,"[82.60985915492958, 91.43478260869566, 94.8]","[142, 69, 9]"
257,86.35927601809955,"[83.52244897959184, 92.12727272727273, 90.9]","[147, 66, 8]"
258,86.00904977375566,"[83.42352941176472, 91.83050847457628, 91.8]","[153, 59, 9]"
259,86.75022624434389,"[85.21678321678321, 89.25, 93.30000000000001]","[143, 72, 6]"
260,87.05158371040724,"[85.77887323943662, 89.92285714285714, 84.80000000000001]","[142, 70, 9]"
261,86.85405405405406,"[86.23862068965518, 89.74647887323944, 67.5]","[145, 71, 6]"
262,87.144,"[87.64054054054054, 88.1735294117647, 71.2]","[148, 68, 9]"
263,87.22035398230088,"[86.93154362416108, 87.07164179104478, 92.52]","[149, 67, 10]"
264,87.45462555066081,"[87.43892617449666, 88.3304347826087, 81.0]","[149, 69, 9]"
265,87.18157894736842,"[86.36447368421054, 89.94545454545455, 81.36000000000001]","[152, 66, 10]"
266,87.20960698689957,"[85.46249999999999, 90.7, 87.23076923076923]","[144, 72, 13]"
267,87.52207792207793,"[85.20428571428572, 91.776, 87.8625]","[140, 75, 16]"
268,87.69568965517242,"[86.53288590604028, 90.48857142857143, 85.98461538461538]","[149, 70, 13]"
269,87.76738197424892,"[87.37297297297297, 88.44657534246576, 88.5]","[148, 73, 12]"
270,87.75965665236052,"[87.1944827586207, 88.80810810810812, 88.07142857142858]","[145, 74, 14]"
271,87.67914893617022,"[86.66577181208054, 88.85217391304349, 91.8]","[149, 69, 17]"
272,87.86297872340425,"[86.06962025316456, 90.84375, 94.98461538461538]","[158, 64, 13]"
